source_input	condition	input	choice	consumed	expected_remaining	actual_remaining	default_is_prefix	learning_namespace	status
sandoitchi	upper	SANDOITCHI	さんどい	6	TCHI		false	FOCUS:japanese	SUFFIX_LOST
sandoitchi	title	Sandoitchi	さんどい	6	tchi		false	FOCUS:japanese	SUFFIX_LOST
sandoitchi	hyphen	ka-sandoitchi	かーさんどい	9	tchi		true	FOCUS:japanese	SUFFIX_LOST
senret	lower	senret	せんれ	5	t	t	false	MODE:japanese_english:START_OR_LATIN	PASS
senret	upper	SENRET	せんれ	5	T		true	FOCUS:japanese	SUFFIX_LOST
senret	title	Senret	せんれ	5	t		true	FOCUS:japanese	SUFFIX_LOST
senret	hyphen	ka-senret	かーせんれ	8	t		true	FOCUS:japanese	SUFFIX_LOST
machihaz	lower	machihaz	まちは	7	z	z	false	MODE:japanese_english:START_OR_LATIN	PASS
machihaz	upper	MACHIHAZ	まちは	7	Z		true	FOCUS:japanese	SUFFIX_LOST
machihaz	title	Machihaz	まちは	7	z		true	FOCUS:japanese	SUFFIX_LOST
machihaz	hyphen	ka-machihaz	かーまちは	10	z		true	FOCUS:japanese	SUFFIX_LOST
saigonob	lower	saigonob	さいごの	7	b	b	false	MODE:japanese_english:START_OR_LATIN	PASS
saigonob	upper	SAIGONOB	さいごの	7	B		true	FOCUS:japanese	SUFFIX_LOST
saigonob	title	Saigonob	さいごの	7	b		true	FOCUS:japanese	SUFFIX_LOST
saigonob	hyphen	ka-saigonob	かーさいごの	10	b		true	FOCUS:japanese	SUFFIX_LOST
sok	lower	sok	そ	2	k	k	false	MODE:japanese_english:START_OR_LATIN	PASS
sok	upper	SOK	そ	2	K		true	FOCUS:japanese	SUFFIX_LOST
sok	title	Sok	そ	2	k		true	FOCUS:japanese	SUFFIX_LOST
sok	hyphen	ka-sok	かーそ	5	k		true	FOCUS:japanese	SUFFIX_LOST
kenok	lower	kenok	けの	4	k	k	false	MODE:japanese_english:START_OR_LATIN	PASS
kenok	upper	KENOK	けの	4	K		true	FOCUS:japanese	SUFFIX_LOST
kenok	title	Kenok	けの	4	k		true	FOCUS:japanese	SUFFIX_LOST
kenok	hyphen	ka-kenok	かーけの	7	k		true	FOCUS:japanese	SUFFIX_LOST
furansur	lower	furansur	ふらんす	7	r	r	false	MODE:japanese_english:START_OR_LATIN	PASS
furansur	upper	FURANSUR	ふらんす	7	R		true	FOCUS:japanese	SUFFIX_LOST
furansur	title	Furansur	ふらんす	7	r		true	FOCUS:japanese	SUFFIX_LOST
furansur	hyphen	ka-furansur	かーふらんす	10	r		true	FOCUS:japanese	SUFFIX_LOST
baas	lower	baas	ばあ	3	s	s	false	MODE:japanese_english:START_OR_LATIN	PASS
baas	upper	BAAS	ばあ	3	S		true	FOCUS:japanese	SUFFIX_LOST
baas	title	Baas	ばあ	3	s		true	FOCUS:japanese	SUFFIX_LOST
baas	hyphen	ka-baas	かーばあ	6	s		true	FOCUS:japanese	SUFFIX_LOST
