# pack	reading	output	dataset	category
geography	ai'liao'yi'zhi	隘寮遺址	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'mai'xiao'jing	愛買小徑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'men'bu'dao	隘門步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'mu'cun'guan'guang'gong'chang	愛木村觀光工場	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'pai'liao	隘排寮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'po	愛坡	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'qing'mo'tian'lun	愛情摩天輪	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'shan	矮山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'shan'keng	矮山坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'shang'xi'weng	愛上喜翁	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'shi'cun	愛勢村	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'tai'wan'tu'xing'he'ying'dian	愛台灣圖形合影點	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'xiang	隘巷	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'xin'chi	愛心池	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'xin'pu'bu	愛心瀑布	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'xin'sha'zhou'lu'jing	愛心沙洲路徑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'yong'gu'dao	隘勇古道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'yong'jian'du'suo	隘勇監督所	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'yong'xian'yi'zhi	隘勇線遺址	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'yu	愛玉	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'yu'tang	愛育堂	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'yu'ting	愛玉亭	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ai'zhong'ma	矮種馬	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aiaishan	唉唉山	rudy-2026.09.03:upstream	geography_history
geography	aimen	隘門	rudy-2026.09.03:upstream	geography_history
geography	aj	隘界	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ajc	安家厝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ajl	愛九路	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ak	隘口	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ak	安坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ak	暗坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	akbd	安康步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	akehtf	隘口二號堤防	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	akjds	安康接待室	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	akl	隘口寮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	akl	隘口里	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	akps	隘口排水	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	al	隘寮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alanshan	阿蘭山	rudy-2026.09.03:upstream	geography_history
geography	alb	阿里擺	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	albd	阿里不動	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	albdbl	阿里不動部落	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	albgstcllx	阿拉伯宮沙灘衝浪路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	albhg	阿拉伯皇宮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	albsblgylx	阿里擺山賓朗果園路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ald	隘寮頂	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aldq	安龍吊橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aleng	阿冷	rudy-2026.09.03:upstream	geography_history
geography	alengshan	阿冷山	rudy-2026.09.03:upstream	geography_history
geography	alengshandongnanfeng	阿冷山東南鋒	rudy-2026.09.03:upstream	geography_history
geography	alengshanqianfeng	阿冷山前峰	rudy-2026.09.03:upstream	geography_history
geography	alg	安良港	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alg	阿里關	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alg	隘寮溝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	aliguanshan	阿里關山	rudy-2026.09.03:upstream	geography_history
geography	alilaoshan	阿里老山	rudy-2026.09.03:upstream	geography_history
geography	alimeishan	阿里眉山	rudy-2026.09.03:upstream	geography_history
geography	alk	隘寮坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	allkn	阿里老坑內	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alm	阿里眉	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alp	隘寮坪	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alpsq	奧林帕斯橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alq	安樂區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alq	安瀾橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alq	阿蓮區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	als	阿里山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	als	阿里史	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alscjnljsp	阿里山常見鳥類介紹牌	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alsdq	阿里山吊橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alssltlckyq	阿里山森林鐵路車庫園區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alsx	阿里山鄉	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alx	隘寮溪	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alx	安樂巷	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alxps	隘寮溪排水	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alyz	隘寮遺址	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alz	阿蓮莊	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	alzc	奧倫治城	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	am	安美	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amanjian	阿屘尖	rudy-2026.09.03:upstream	geography_history
geography	amannalaishan	阿屘那來山	rudy-2026.09.03:upstream	geography_history
geography	ambd	隘門步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amc	阿媽厝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amcgggc	愛木村觀光工場	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	ameishan	阿眉山	rudy-2026.09.03:upstream	geography_history
geography	amsdbf	鞍馬山東北峰	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amsdbflx	鞍馬山東北峰路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amwhc	阿美文化村	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amxj	愛買小徑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	amz	阿美族	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an	安南	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'an	暗鞍	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'bei	安北	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'bian	庵邊	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'bu	鞍部	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'bu'tu'chan'dao'xian	鞍部土產道線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'bu'xiao'ying'di	鞍部小營地	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'cun	安村	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'cuo	安厝	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'da'shan	安達山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'de'qiao	安德橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'dian'xiang	安殿巷	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ding	安定	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ding	庵頂	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ding	鞍頂	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ding'qu	安定區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ding'wan	安定灣	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'dong	安東	rudy-2026.09.03:mcbopomofo-derived	geography_history
