# kind	reading	output	frequency_rank	source
kanji	ge'tsu	月	23	kanjidic:U6708
kanji	gi	技	434	kanjidic:U6280
kanji	gi	疑	283	kanjidic:U7591
kanji	gi	義	415	kanjidic:U7FA9
kanji	gi	議	25	kanjidic:U8B70
kanji	gi'n	銀	395	kanjidic:U9280
kanji	go	五	31	kanjidic:U4E94
kanji	go	午	154	kanjidic:U5348
kanji	go	後	26	kanjidic:U5F8C
kanji	go	期	117	kanjidic:U671F
kanji	go	語	301	kanjidic:U8A9E
kanji	go	護	351	kanjidic:U8B77
kanji	go'ku	極	460	kanjidic:U6975
kanji	go'n	権	156	kanjidic:U6A29
kanji	go'n	言	83	kanjidic:U8A00
kanji	go'n	金	53	kanjidic:U91D1
kanji	go'to	毎	436	kanjidic:U6BCE
kanji	go'u	合	41	kanjidic:U5408
kanji	go'u	強	112	kanjidic:U5F37
kanji	go'u	格	281	kanjidic:U683C
kanji	go'u	業	43	kanjidic:U696D
kanji	go'u	楽	373	kanjidic:U697D
kanji	gu	供	313	kanjidic:U4F9B
kanji	gu	工	299	kanjidic:U5DE5
kanji	gu	求	220	kanjidic:U6C42
kanji	gu'n	軍	189	kanjidic:U8ECD
kanji	gu'ra'i	位	276	kanjidic:U4F4D
kanji	gu'u	宮	367	kanjidic:U5BAE
kanji	gyo'u	形	418	kanjidic:U5F62
kanji	gyo'u	業	43	kanjidic:U696D
kanji	gyo'u	行	20	kanjidic:U884C
kanji	ha	法	100	kanjidic:U6CD5
kanji	ha	派	164	kanjidic:U6D3E
kanji	ha	葉	414	kanjidic:U8449
kanji	ha'chi	八	92	kanjidic:U516B
kanji	ha'i	配	359	kanjidic:U914D
kanji	ha'ka'ri'go'to	画	199	kanjidic:U753B
kanji	ha'ku	白	483	kanjidic:U767D
kanji	ha'n	判	197	kanjidic:U5224
kanji	ha'n	半	224	kanjidic:U534A
kanji	ha'n	反	191	kanjidic:U53CD
kanji	ha'na'bu'sa	英	430	kanjidic:U82F1
kanji	ha'na'shi	話	134	kanjidic:U8A71
kanji	ha'ra	原	172	kanjidic:U539F
kanji	ha'ta	機	127	kanjidic:U6A5F
kanji	ha'tsu	八	92	kanjidic:U516B
kanji	ha'tsu	初	152	kanjidic:U521D
kanji	ha'tsu	発	32	kanjidic:U767A
kanji	ha'ya	早	402	kanjidic:U65E9
kanji	ha'zu'mi	勢	260	kanjidic:U52E2
kanji	he'i	平	128	kanjidic:U5E73
kanji	he'i	病	384	kanjidic:U75C5
kanji	he'n	変	238	kanjidic:U5909
kanji	he'n	辺	428	kanjidic:U8FBA
kanji	hi	日	1	kanjidic:U65E5
kanji	hi	比	329	kanjidic:U6BD4
kanji	hi	被	431	kanjidic:U88AB
kanji	hi	費	321	kanjidic:U8CBB
kanji	hi	非	472	kanjidic:U975E
kanji	hi'ga'shi	東	37	kanjidic:U6771
kanji	hi'n	品	225	kanjidic:U54C1
kanji	hi'ra	平	128	kanjidic:U5E73
kanji	hi'ta'i	額	407	kanjidic:U984D
kanji	hi'to	人	5	kanjidic:U4EBA
kanji	hi'tsu	必	265	kanjidic:U5FC5
kanji	ho	保	146	kanjidic:U4FDD
kanji	ho	反	191	kanjidic:U53CD
kanji	ho	法	100	kanjidic:U6CD5
kanji	ho	補	332	kanjidic:U88DC
kanji	ho'ka	外	81	kanjidic:U5916
kanji	ho'ku	北	153	kanjidic:U5317
kanji	ho'n	反	191	kanjidic:U53CD
kanji	ho'n	品	225	kanjidic:U54C1
kanji	ho'n	本	10	kanjidic:U672C
kanji	ho'tsu	発	32	kanjidic:U767A
kanji	ho'u	保	146	kanjidic:U4FDD
kanji	ho'u	報	167	kanjidic:U5831
kanji	ho'u	放	288	kanjidic:U653E
kanji	ho'u	方	46	kanjidic:U65B9
kanji	ho'u	法	100	kanjidic:U6CD5
kanji	ho'u	訪	372	kanjidic:U8A2A
kanji	hya'ku	百	163	kanjidic:U767E
kanji	hyo'u	平	128	kanjidic:U5E73
kanji	hyo'u	票	489	kanjidic:U7968
kanji	hyo'u	表	77	kanjidic:U8868
kanji	hyo'u	評	454	kanjidic:U8A55
kanji	i	井	339	kanjidic:U4E95
kanji	i	以	126	kanjidic:U4EE5
kanji	i	位	276	kanjidic:U4F4D
kanji	i	医	437	kanjidic:U533B
kanji	i	委	187	kanjidic:U59D4
kanji	i	意	99	kanjidic:U610F
kanji	i	移	448	kanjidic:U79FB
kanji	i	違	344	kanjidic:U9055
kanji	i'chi	一	2	kanjidic:U4E00
kanji	i'chi	市	42	kanjidic:U5E02
kanji	i'e	家	133	kanjidic:U5BB6
kanji	i'ge'ta	韓	445	kanjidic:U97D3
kanji	i'ki	域	396	kanjidic:U57DF
