you	ㄧㄡˇ	㔽	0.0	ㄧㄡˇ
jie	ㄐㄧㄝˊ	㔾	0.0	ㄐㄧㄝˊ
you	ㄧㄡˊ	㕀	0.0	ㄧㄡˊ
que	ㄑㄩㄝˋ	㕁	0.0	ㄑㄩㄝˋ
xi	ㄒㄧ	㕃	0.0	ㄒㄧˉ
zhi	ㄓˇ	㕄	0.0	ㄓˇ
jia	ㄐㄧㄚˊ	㕅	0.0	ㄐㄧㄚˊ
du	ㄉㄨˇ	㕆	0.0	ㄉㄨˇ
hu	ㄏㄨˋ	㕆	0.0	ㄏㄨˋ
la	ㄌㄚ	㕇	0.0	ㄌㄚˉ
ke	ㄎㄜˋ	㕉	0.0	ㄎㄜˋ
an	ㄢˇ	㕉	0.0	ㄢˇ
wa	ㄨㄚ	㕉	0.0	ㄨㄚˉ
fu	ㄈㄨ	㕊	0.0	ㄈㄨˉ
qin	ㄑㄧㄣˊ	㕋	0.0	ㄑㄧㄣˊ
ai	ㄞˋ	㕌	0.0	ㄞˋ
dui	ㄉㄨㄟ	㕍	0.0	ㄉㄨㄟˉ
zui	ㄗㄨㄟ	㕍	0.0	ㄗㄨㄟˉ
ke	ㄎㄜˋ	㕎	0.0	ㄎㄜˋ
chu	ㄔㄨˊ	㕏	0.0	ㄔㄨˊ
chu	ㄔㄨˊ	㕑	0.0	ㄔㄨˊ
wei	ㄨㄟˊ	㕒	0.0	ㄨㄟˊ
ting	ㄊㄧㄥ	㕔	0.0	ㄊㄧㄥˉ
huan	ㄏㄨㄢˋ	㕕	0.0	ㄏㄨㄢˋ
you	ㄧㄡˋ	㕗	0.0	ㄧㄡˋ
shen	ㄕㄣ	㕘	0.0	ㄕㄣˉ
can	ㄘㄢ	㕘	0.0	ㄘㄢˉ
cen	ㄘㄣ	㕘	0.0	ㄘㄣˉ
san	ㄙㄢ	㕘	0.0	ㄙㄢˉ
jun	ㄐㄩㄣˋ	㕙	0.0	ㄐㄩㄣˋ
shi	ㄕˇ	㕜	0.0	ㄕˇ
shua	ㄕㄨㄚ	㕞	0.0	ㄕㄨㄚˉ
tian	ㄊㄧㄢ	㕟	0.0	ㄊㄧㄢˉ
kuai	ㄎㄨㄞˋ	㕟	0.0	ㄎㄨㄞˋ
kui	ㄎㄨㄟˋ	㕟	0.0	ㄎㄨㄟˋ
shuang	ㄕㄨㄤ	㕠	0.0	ㄕㄨㄤˉ
shuang	ㄕㄨㄤˋ	㕠	0.0	ㄕㄨㄤˋ
huo	ㄏㄨㄛˋ	㕡	0.0	ㄏㄨㄛˋ
rui	ㄖㄨㄟˋ	㕡	0.0	ㄖㄨㄟˋ
gai	ㄍㄞˋ	㕢	0.0	ㄍㄞˋ
